,ITEM,MATERIAL,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,SHEATHING,ADV,"4x8'-1/2"" SE Advantec",,$34.50,15.00%,,$39.68,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" SE Advantec",,$37.89,15.00%,,$43.57,sheets,Builders First Source BFS Group LLC,Sheathing,
,,PT,"4x8'-1/2"" PT CDX",,$36.50,15.00%,,$41.98,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" PT CDX",,$48.89,15.00%,,$56.22,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" PT CDX",,Requested,15.00%,,,sheets,Builders First Source BFS Group LLC,Sheathing,
,,OSB,"4x8'-1/2"" OSB SE",,$13.50,15.00%,,$15.53,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" OSB SE",,$17.50,15.00%,,$20.13,sheets,Builders First Source BFS Group LLC,Sheathing,
,,T&G,"4x8'-3/4"" OSB T&G",,$23.50,15.00%,,$27.03,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" OSB T&G",,$17.89,15.00%,,$20.57,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" CDX T&G - LP TN350",,$23.50,15.00%,,$27.03,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" T&G Advantech",,$41.99,15.00%,,$48.29,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" T&G Advantech",,$40.99,15.00%,,$47.14,sheets,Builders First Source BFS Group LLC,Sheathing,
,,CDX,"4x8'-1/2"" CDX SE",,$27.50,15.00%,,$31.63,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" CDX SE",,$34.69,15.00%,,$39.89,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" CDX SE",,$30.99,15.00%,,$35.64,sheets,Builders First Source BFS Group LLC,Sheathing,
,,ZIP,"4x8'-7/16"" Green Zip",,$29.50,15.00%,,$33.93,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x9'-7/16"" Green Zip",,$48.50,15.00%,,$55.78,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-1/2"" Brown Zip",,$30.99,15.00%,,$35.64,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" Brown Zip",,$36.89,15.00%,,$42.42,sheets,Builders First Source BFS Group LLC,Sheathing,
,,ZIP-R,"4x8'x1""(R-3) Green Zip",,$82.99,15.00%,,$95.44,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'x1-1/2""(R-6) Green Zip",,Requested,15.00%,,,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'x2""(R-9) Green Zip",,Requested,15.00%,,,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'x2-1/2""(R-12) Green Zip",,$110.24,15.00%,,$126.78,sheets,Builders First Source BFS Group LLC,Sheathing,
,,FRT,"4x8'-1/2"" FRT CDX",,$41.99,15.00%,,$48.29,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-19/32"" FRT CDX",,$45.69,15.00%,,$52.54,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" FRT CDX",,$52.50,15.00%,,$60.38,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" FRT T&G CDX",,$61.69,15.00%,,$70.94,sheets,Builders First Source BFS Group LLC,Sheathing,
,,INS,"4x8'x1"" Rigid Insulation",,$34.75,15.00%,,$39.96,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'x2"" Rigid Insulation",,$66.75,15.00%,,$76.76,sheets,Builders First Source BFS Group LLC,Sheathing,
,,Marine,"4x8'-1/2"" Marine Plywood",-,$126.52,15.00%,,$145.50,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-1/4"" Marine Plywood",-,$107.75,15.00%,,$123.91,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-3/4"" Marine Plywood",-,$146.88,15.00%,,$168.91,sheets,Builders First Source BFS Group LLC,Sheathing,
,,,"4x8'-5/8"" Marine Plywood",-,$136.16,15.00%,,$156.58,sheets,Builders First Source BFS Group LLC,Sheathing,
,STRAPPIING,1X3 Strapp,"1x3""-8' Strapping",,$1.62,15.00%,,$1.86,pcs,Builders First Source BFS Group LLC,Strapping,
,,,"1x3""-12' Strapping",,$2.50,15.00%,,$2.88,pcs,Builders First Source BFS Group LLC,Strapping,
,,,"1x3""-16' Strapping",,$3.50,15.00%,,$4.03,pcs,Builders First Source BFS Group LLC,Strapping,
,SPRUCE PINE FIR,SPF#2,"2x4""-92-5/8"" SPF#2",,$3.89,15.00%,,$4.47,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-8' SPF#2",,$3.50,15.00%,,$4.03,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-104-5/8"" SPF#2",,$4.50,15.00%,,$5.18,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-10' SPF#2",,$4.50,15.00%,,$5.18,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-12' SPF#2",,$4.99,15.00%,,$5.74,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-14' SPF#2",,$5.99,15.00%,,$6.89,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x4""-16' SPF#2",,$7.69,15.00%,,$8.84,pcs,Builders First Source BFS Group LLC,SPF Lumber,
