FAMILY,SIZE
SE Advantec Sheathing Struct 1,"4x8'-1/2"""
SE Advantec Sheathing Struct 1,"4x8'-5/8"""
PT CDX,"4x8'-1/2"""
PT CDX,"4x8'-3/4"""
PT Southern Yellow Pine Plywood Sheathing,"4x8'-3/4"""
OSB SE,"4x8'-1/2"""
OSB SE,"4x8'-5/8"""
OSB T&G,"4x8'-3/4"""
OSB T&G,"4x8'-5/8"""
CDX T&G - Dryply,"4x8'-3/4"""
OSB T&G - LP TN350,"4x8'-3/4"""
OSB T&G - LP TN250,"4x8'-3/4"""
T&G Advantech,"4x8'-3/4"""
T&G Advantech,"4x8'-5/8"""
CDX SE,"4x8'-1/2"""
CDX SE,"4x8'-3/4"""
CDX SE,"4x8'-5/8"""
Green Zip,"4x8'-7/16"""
Brown Zip,"4x8'-1/2"""
Brown Zip,"4x8'-5/8"""
Green Zip,"4x8'x1""(R-3)"
Green Zip,"4x8'x1-1/2""(R-6)"
Green Zip,"4x8'x2""(R-9)"
Green Zip,"4x8'x2-1/2""(R-12)"
FRT LP Flameblock,"4x8'-1/2"""
FRT CDX,"4x8'-19/32"""
FRT LP Flameblock 2 sides,"4x8'-7/16"""
FRT LP Flameblock 2 sides,"4x8'-1/2"""
FRT PT Plywood,"4x8'-5/8"""
FRT T&G CDX,"4x8'-3/4"""
FRT CDX,"4x8'-3/4"""
EXACOR Magnesium-Oxide,"4x8'-1/2"""
Rigid Insulation,"4x8'x1"""
Rigid Insulation,"4x8'x2"""
Rigid Insulation,"4x8'x2-1/2"""
Marine Plywood,"4x8'-1/2"""
Marine Plywood,"4x8'-1/4"""
Marine Plywood,"4x8'-3/4"""
Marine Plywood,"4x8'-5/8"""
Strapping,"1x3""-8'"
Strapping,"1x3""-12'"
Strapping,"1x3""-16'"
SPF#2,"2x4""-92-5/8"""
SPF#2,"2x4""-8'"
SPF#2,"2x4""-104-5/8"""
SPF#2,"2x4""-10'"
SPF#2,"2x4""-12'"
SPF#2,"2x4""-14'"
SPF#2,"2x4""-16'"
SPF#2,"2x6""-92-5/8"""
SPF#2,"2x6""-8'"
SPF#2,"2x6""-104-5/8"""
SPF#2,"2x6""-10'"
SPF#2,"2x6""-12'"
SPF#2,"2x6""-14'"
SPF#2,"2x6""-16'"
SPF#2,"2x6""-18'"
SPF#2,"2x6""-20'"
SPF#2,"2x8""-8'"
SPF#2,"2x8""-10'"
SPF#2,"2x8""-12'"
SPF#2,"2x8""-14'"
SPF#2,"2x8""-16'"
SPF#2,"2x8""-18'"
SPF#2,"2x8""-20'"
SPF#2,"2x10""-8'"
SPF#2,"2x10""-10'"
